Team,Timeframe,Profile URL,Maps played,Wins,Draws,Losses,Total kills,Total deaths,Rounds played,K/D Ratio
Virtus.pro,Last Month,https://www.hltv.org/stats/teams/5378/virtuspro?startDate=all&csVersion=CS2,12,10,0,2,968,920,278,1.05
Virtus.pro,Last 3 Months,https://www.hltv.org/stats/teams/5378/virtuspro?startDate=all&csVersion=CS2,12,10,0,2,968,920,278,1.05
Virtus.pro,Last 6 Months,https://www.hltv.org/stats/teams/5378/virtuspro?startDate=all&csVersion=CS2,21,11,0,10,1568,1623,478,0.97
Virtus.pro,Last 12 Months,https://www.hltv.org/stats/teams/5378/virtuspro?startDate=all&csVersion=CS2,88,40,0,48,6168,6326,1915,0.98
9 Pandas,Last Month,https://www.hltv.org/stats/teams/11883/9-pandas?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
9 Pandas,Last 3 Months,https://www.hltv.org/stats/teams/11883/9-pandas?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
9 Pandas,Last 6 Months,https://www.hltv.org/stats/teams/11883/9-pandas?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
9 Pandas,Last 12 Months,https://www.hltv.org/stats/teams/11883/9-pandas?startDate=all&csVersion=CS2,0,0,0,0,0,0,0,-
Aurora,Last Month,https://www.hltv.org/stats/teams/11861/aurora?startDate=all&csVersion=CS2,12,6,0,6,926,907,278,1.02
Aurora,Last 3 Months,https://www.hltv.org/stats/teams/11861/aurora?startDate=all&csVersion=CS2,61,34,0,27,4477,4309,1337,1.04
Aurora,Last 6 Months,https://www.hltv.org/stats/teams/11861/aurora?startDate=all&csVersion=CS2,98,54,0,44,7214,7015,2153,1.03
Aurora,Last 12 Months,https://www.hltv.org/stats/teams/11861/aurora?startDate=all&csVersion=CS2,190,102,0,88,13970,13713,4175,1.02
Astralis,Last Month,https://www.hltv.org/stats/teams/6665/astralis?startDate=all&csVersion=CS2,9,5,0,4,576,595,180,0.97
