Player,Total Kills,Headshot %,Rounds played,Profile URL
atarax1a,6213,34.9%,8779,https://www.hltv.org/stats/players/20268/atarax1a?csVersion=CS2
hardzao,8938,51.9%,12664,https://www.hltv.org/stats/players/16817/hardzao?csVersion=CS2
NertZ,7723,53.6%,10714,https://www.hltv.org/stats/players/9436/nertz?csVersion=CS2
ksloks,8137,55.5%,11509,https://www.hltv.org/stats/players/22182/ksloks?csVersion=CS2
SHOCK,13698,56.5%,20327,https://www.hltv.org/stats/players/12810/shock?csVersion=CS2
Cxzi,7794,46.0%,10935,https://www.hltv.org/stats/players/17353/cxzi?csVersion=CS2
dpr,4205,47.1%,6052,https://www.hltv.org/stats/players/23345/dpr?csVersion=CS2
maxxkor,7058,37.2%,10003,https://www.hltv.org/stats/players/21221/maxxkor?csVersion=CS2
laxiee,4867,55.8%,6580,https://www.hltv.org/stats/players/23458/laxiee?csVersion=CS2
jocab,6751,50.2%,9321,https://www.hltv.org/stats/players/22759/jocab?csVersion=CS2
aidKiT,3806,33.5%,5232,https://www.hltv.org/stats/players/20066/aidkit?csVersion=CS2
sl3nd,5876,31.7%,8326,https://www.hltv.org/stats/players/20870/sl3nd?csVersion=CS2
nut nut,9743,57.8%,14706,https://www.hltv.org/stats/players/21779/nut-nut?csVersion=CS2
clax,12792,57.2%,18571,https://www.hltv.org/stats/players/12004/clax?csVersion=CS2
Alkaren,5233,30.7%,7469,https://www.hltv.org/stats/players/23600/alkaren?csVersion=CS2
swiz,5315,53.5%,7329,https://www.hltv.org/stats/players/22008/swiz?csVersion=CS2
m1N1,5565,40.8%,7514,https://www.hltv.org/stats/players/17675/m1n1?csVersion=CS2
n0rb3r7,6894,51.1%,10212,https://www.hltv.org/stats/players/16612/n0rb3r7?csVersion=CS2
kisserek,9128,55.5%,13258,https://www.hltv.org/stats/players/23295/kisserek?csVersion=CS2
XELLOW,11989,41.1%,16667,https://www.hltv.org/stats/players/9626/xellow?csVersion=CS2
drac,5551,47.8%,8039,https://www.hltv.org/stats/players/19742/drac?csVersion=CS2
xerolte,5476,55.4%,7814,https://www.hltv.org/stats/players/20703/xerolte?csVersion=CS2
JOTA,3922,50.6%,5670,https://www.hltv.org/stats/players/17861/jota?csVersion=CS2
Woro2k,10111,39.3%,13346,https://www.hltv.org/stats/players/16885/woro2k?csVersion=CS2
suonko,5944,60.0%,8306,https://www.hltv.org/stats/players/20686/suonko?csVersion=CS2
hazr,5064,60.6%,7404,https://www.hltv.org/stats/players/14294/hazr?csVersion=CS2
cJ dA K1nG,6086,53.4%,8627,https://www.hltv.org/stats/players/9571/cj-da-k1ng?csVersion=CS2
Jorko,4141,35.7%,5768,https://www.hltv.org/stats/players/24203/jorko?csVersion=CS2
pancc,4127,60.0%,5971,https://www.hltv.org/stats/players/16314/pancc?csVersion=CS2
sirah,12564,55.3%,17703,https://www.hltv.org/stats/players/22695/sirah?csVersion=CS2
mopoz,10243,54.5%,15108,https://www.hltv.org/stats/players/9254/mopoz?csVersion=CS2
DemQQ,10804,59.0%,15728,https://www.hltv.org/stats/players/19733/demqq?csVersion=CS2
tomate,7589,50.6%,11086,https://www.hltv.org/stats/players/23551/tomate?csVersion=CS2
oopee,4680,54.4%,6411,https://www.hltv.org/stats/players/14236/oopee?csVersion=CS2
8Juho8,3209,52.4%,4534,https://www.hltv.org/stats/players/24995/8juho8?csVersion=CS2
ogwizard,5788,35.4%,7950,https://www.hltv.org/stats/players/22967/ogwizard?csVersion=CS2
M1key,10651,47.1%,14873,https://www.hltv.org/stats/players/21165/m1key?csVersion=CS2
zweih,7077,53.9%,10256,https://www.hltv.org/stats/players/23685/zweih?csVersion=CS2
Mercury,6191,54.1%,8877,https://www.hltv.org/stats/players/20895/mercury?csVersion=CS2
wieenN,2957,61.0%,4121,https://www.hltv.org/stats/players/24005/wieenn?csVersion=CS2
afro,8748,32.8%,12381,https://www.hltv.org/stats/players/19926/afro?csVersion=CS2
kensizor,8376,60.2%,11545,https://www.hltv.org/stats/players/22842/kensizor?csVersion=CS2
reck,6307,53.9%,9444,https://www.hltv.org/stats/players/17378/reck?csVersion=CS2
danistzz,10038,47.4%,13957,https://www.hltv.org/stats/players/22039/danistzz?csVersion=CS2
s0und,11943,65.2%,16823,https://www.hltv.org/stats/players/19817/s0und?csVersion=CS2
shane,7982,59.9%,11674,https://www.hltv.org/stats/players/19709/shane?csVersion=CS2
device,6890,34.6%,9761,https://www.hltv.org/stats/players/7592/device?csVersion=CS2
forsyy,13945,31.6%,19550,https://www.hltv.org/stats/players/19069/forsyy?csVersion=CS2
xiELO,10554,60.3%,14739,https://www.hltv.org/stats/players/22471/xielo?csVersion=CS2
dziugss,8525,56.3%,12806,https://www.hltv.org/stats/players/23553/dziugss?csVersion=CS2
NAF,6295,49.4%,9325,https://www.hltv.org/stats/players/8520/naf?csVersion=CS2
rage,3988,52.1%,5318,https://www.hltv.org/stats/players/20807/rage?csVersion=CS2
Kursy,4704,46.5%,6206,https://www.hltv.org/stats/players/20482/kursy?csVersion=CS2
cass1n,7145,33.1%,10083,https://www.hltv.org/stats/players/20185/cass1n?csVersion=CS2
TruNiQ,7174,58.2%,10279,https://www.hltv.org/stats/players/21362/truniq?csVersion=CS2
FL4MUS,6835,62.2%,9592,https://www.hltv.org/stats/players/20994/fl4mus?csVersion=CS2
faveN,10286,59.4%,14702,https://www.hltv.org/stats/players/14932/faven?csVersion=CS2
refrezh,6699,51.7%,9785,https://www.hltv.org/stats/players/10610/refrezh?csVersion=CS2
oxygeN,5729,62.8%,8384,https://www.hltv.org/stats/players/18697/oxygen?csVersion=CS2
TRAVIS,10313,56.1%,15749,https://www.hltv.org/stats/players/16948/travis?csVersion=CS2
sdy,8274,50.5%,11529,https://www.hltv.org/stats/players/12731/sdy?csVersion=CS2
synyx,9461,56.3%,13397,https://www.hltv.org/stats/players/20402/synyx?csVersion=CS2
WolfY,8632,37.7%,12251,https://www.hltv.org/stats/players/12937/wolfy?csVersion=CS2
headtr1ck,9101,33.6%,12776,https://www.hltv.org/stats/players/19592/headtr1ck?csVersion=CS2
somebody,3994,49.2%,5562,https://www.hltv.org/stats/players/8605/somebody?csVersion=CS2
