Player,Total Kills,Total Headshots,Kills per Round,Headshots per Round,Rounds played
8Juho8,3209,1681.516,0.707763564181738,0.37086810763123074,4534
ogwizard,5788,2048.9519999999998,0.7280503144654088,0.2577298113207547,7950
M1key,10651,5016.621,0.716129899818463,0.33729718281449605,14873
zweih,7077,3814.5029999999997,0.6900351014040562,0.37192891965678626,10256
Mercury,6191,3349.331,0.6974202996507829,0.3773043821110736,8877
wieenN,2957,1803.77,0.7175442853676293,0.4377020140742538,4121
afro,8748,2869.3439999999996,0.7065665132057184,0.23175381633147563,12381
kensizor,8376,5042.352,0.7255088783022954,0.4367563447379818,11545
reck,6307,3399.473,0.6678314273612876,0.359961139347734,9444
danistzz,10038,4758.012,0.7192089990685677,0.3409050655585011,13957
s0und,11943,7786.835999999999,0.7099209415680913,0.4628684539023955,16823
shane,7982,4781.218,0.6837416481069042,0.4095612472160356,11674
device,6890,2383.94,0.7058703001741625,0.24423112386026022,9761
forsyy,13945,4406.62,0.7132992327365729,0.22540255754475702,19550
xiELO,10554,6364.062,0.7160594341542845,0.43178383879503357,14739
dziugss,8525,4799.575,0.6657035764485397,0.37479111354052785,12806
NAF,6295,3109.73,0.6750670241286864,0.33348310991957103,9325
rage,3988,2077.748,0.7499059796916134,0.3907010154193306,5318
Kursy,4704,2187.36,0.7579761521108604,0.3524589107315501,6206
cass1n,7145,2364.995,0.7086184667261728,0.23455271248636317,10083
TruNiQ,7174,4175.268,0.6979278139896877,0.4061939877419983,10279
FL4MUS,6835,4251.37,0.7125729774812344,0.44322039199332774,9592
faveN,10286,6109.884,0.6996327030336009,0.41558182560195894,14702
refrezh,6699,3463.3830000000003,0.6846193152784875,0.35394818599897804,9785
oxygeN,5729,3597.812,0.6833253816793893,0.42912833969465647,8384
TRAVIS,10313,5785.593000000001,0.6548352276335005,0.36736256270239387,15749
sdy,8274,4178.37,0.7176684881602914,0.36242258652094717,11529
synyx,9461,5326.543,0.7062028812420691,0.3975922221392849,13397
WolfY,8632,3254.264,0.7045955432209615,0.2656325197943025,12251
headtr1ck,9101,3057.936,0.7123512836568566,0.23935003130870383,12776
somebody,3994,1965.0480000000002,0.7180870190578929,0.35329881337648333,5562
SunPayus,7001,2478.354,0.695924453280318,0.24635725646123258,10060
rdnzao,11495,6069.36,0.6898517673888256,0.3642417331812999,16663
Re1GN,4383,2581.587,0.7151248164464024,0.421208516886931,6129
togs,6296,3091.3360000000002,0.7105292856336757,0.3488698792461348,8861
SHiPZ,5757,3206.6490000000003,0.7383609080415544,0.41126702577914587,7797
RUSH,4154,2131.002,0.6831113303732939,0.35043611248149975,6081
story,7396,2625.58,0.7043809523809523,0.2500552380952381,10500
zorte,8719,3060.369,0.7135024549918167,0.25043936170212766,12220
Staehr,6741,3653.6220000000003,0.6795362903225807,0.36830866935483875,9920
chayJESUS,7434,3902.85,0.683900643974241,0.35904783808647656,10870
Zanto,5535,3337.605,0.6530973451327433,0.3938176991150443,8475
BELCHONOKK,10228,5083.316000000001,0.6921567300534615,0.3440018948365704,14777
Botman,4386,2188.614,0.6841366401497426,0.3413841834347216,6411
Ryujin,9212,5223.204000000001,0.6966649020645844,0.3950089994706194,13223
Matheos,6076,3748.8920000000003,0.7154126928058401,0.4414096314612034,8493
mawth,3741,1859.277,0.6866740088105727,0.3412769823788546,5448
abiraju,4673,2593.515,0.6650064038707841,0.36907855414828517,7027
Cjoffo,15542,9542.787999999999,0.6630263214026705,0.40709816134123966,23441
KEi,6428,3201.144,0.7099624475370002,0.3535612988734261,9054
